Fold,Model,MAE,RMSE,R2,Dataset
1,Linear Regression,42.79409467959994,53.85344583676593,0.4526027629719195,Diabetes
1,Decision Tree,48.72455831641678,61.82755781055031,0.2784942587030993,Diabetes
1,Random Forest,44.12005617977528,54.99205981244683,0.42921101811354545,Diabetes
1,Gradient Boosting,44.60329704365657,53.860777979540146,0.45245369663608703,Diabetes
2,Linear Regression,41.582602747061,51.60075201602798,0.5732001497272166,Diabetes
2,Decision Tree,62.40555160122245,78.58183462693117,0.010179317277729805,Diabetes
2,Random Forest,43.17719101123595,53.96414553544591,0.5332086429673646,Diabetes
2,Gradient Boosting,45.19553562979855,56.964241986142625,0.47986408587151264,Diabetes
3,Linear Regression,47.223311159572404,57.55263581136194,0.39144785125488846,Diabetes
3,Decision Tree,65.59879326225669,81.83142431690943,-0.23029025554174898,Diabetes
3,Random Forest,52.07579545454546,63.53975418979837,0.258248515328776,Diabetes
3,Gradient Boosting,51.880422253429515,64.12161383914956,0.24460126686492878,Diabetes
4,Linear Regression,42.122355060340055,52.8950238921937,0.5842888825400094,Diabetes
4,Decision Tree,65.01276419658774,83.82009336621239,-0.04389852596093924,Diabetes
4,Random Forest,48.77477272727273,59.00883016549303,0.4826362286845217,Diabetes
4,Gradient Boosting,48.629950310818366,59.137926091306625,0.48037003855962535,Diabetes
5,Linear Regression,47.62636803032456,58.342846973148774,0.3908118647948904,Diabetes
5,Decision Tree,62.014139766752,79.41575403703503,-0.1287285974048442,Diabetes
5,Random Forest,45.60482954545455,56.25967314049203,0.43353822331495206,Diabetes
5,Gradient Boosting,46.167109297037015,56.58140674976959,0.427040819403233,Diabetes
